repo,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PushEvent,ReleaseEvent,WatchEvent
datackmy/FallingSkies-CVE-2023-35885,0.0,0.0,0.0,18.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,57.0
datameet/covid19,1.0,3.0,0.0,130.0,0.0,82.0,61.0,0.0,0.0,21.0,0.0,0.0,918.0,1.0,133.0
datamllab/awesome-game-ai,0.0,2.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,28.0,0.0,775.0
datasets/s-and-p-500-companies,0.0,1.0,1.0,365.0,0.0,22.0,10.0,0.0,0.0,12.0,5.0,4.0,125.0,0.0,303.0
datasets/un-locode,0.0,1.0,1.0,24.0,0.0,41.0,15.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,83.0
datastax/nodejs-driver,0.0,93.0,65.0,92.0,0.0,104.0,0.0,6.0,0.0,174.0,79.0,67.0,232.0,0.0,599.0
datawhalechina/learn-nlp-with-transformers,0.0,1.0,0.0,385.0,0.0,47.0,24.0,0.0,1.0,36.0,0.0,0.0,62.0,0.0,2168.0
datawhalechina/pumpkin-book,12.0,9.0,1.0,3830.0,0.0,516.0,137.0,0.0,0.0,29.0,0.0,1.0,202.0,9.0,18498.0
datawhalechina/team-learning,0.0,3.0,1.0,856.0,0.0,8.0,18.0,3.0,0.0,14.0,0.0,0.0,439.0,0.0,2501.0
datreeio/helm-datree,0.0,23.0,23.0,29.0,0.0,70.0,36.0,0.0,1.0,57.0,1.0,21.0,44.0,0.0,114.0
datugou/WPS_daily_check_in,0.0,2.0,0.0,971.0,0.0,172.0,43.0,0.0,0.0,65.0,0.0,0.0,84.0,0.0,187.0
dave/blast,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
davecom/ClassicComputerScienceProblemsInSwift,0.0,0.0,0.0,25.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,117.0
daveewart/colordiff,0.0,4.0,0.0,11.0,0.0,73.0,20.0,0.0,0.0,20.0,0.0,0.0,17.0,0.0,82.0
davehancock/react-ssr-sample-golang,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
davelosert/vitest-coverage-report-action,5.0,383.0,358.0,21.0,0.0,896.0,57.0,0.0,0.0,694.0,42.0,41.0,635.0,18.0,150.0
davep/transcendent-textual,0.0,2.0,0.0,21.0,0.0,22.0,4.0,0.0,0.0,29.0,0.0,8.0,93.0,0.0,161.0
daveshap/ChromaDB_Chatbot_Public,0.0,2.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,126.0
david-m-rosen/SE-Sync,0.0,4.0,3.0,61.0,0.0,46.0,28.0,0.0,0.0,12.0,0.0,0.0,47.0,0.0,337.0
david-pzh/ONE-Robot,0.0,2.0,0.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,163.0
davidfowl/TcpEcho,0.0,0.0,0.0,56.0,0.0,40.0,18.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,191.0
davidfowl/TriviaR,0.0,2.0,0.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,202.0
davidgiven/wordgrinder,0.0,67.0,64.0,53.0,0.0,252.0,186.0,0.0,0.0,158.0,2.0,3.0,362.0,2.0,744.0
davidgrzyb/tailwind-blog-template,0.0,0.0,0.0,110.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,244.0
davidhund/styleguide-generators,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
davidnilsson0101/NcCrack-Battlefield-5-HACK-AimBot-ESP,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0
davidnilsson0101/NcCrack-HACK-SQUAD-Aimbot-Visuals,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0
davidnilsson0101/NcCrack-Macros-CS-GO-RUST-PUBG-Apex-R6S,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0
davidnilsson0101/NcCrack-VALORANT-HACK-AIMBOT-ESP-MORE-SKINCHANGER,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0
davidscott7759/COSMIC-S-O-FT-tc7pkd,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0
davidwengier/SourceGeneratorPlayground,0.0,10.0,5.0,18.0,0.0,15.0,12.0,0.0,0.0,13.0,2.0,5.0,63.0,4.0,141.0
