repo,packages,trending,domain
max32002/tixcraft_bot,False,True,suspicious
Maybe-U/remote-browser-view,True,False,web
mewzax/Discord-RPC-Selfbot,False,False,bot
mgtv-tech/jetcache-go,True,False,database
microsoft/ClimaX,True,False,ai
midul9797/earth3D,False,False,other
MingXiangL/AttentionShift,False,False,ai
MingXiangL/DEVIL,False,False,ai
MiniAiLive/FaceLivenessDetection-Android-SDK,False,False,ai
MiniAiLive/FaceRecognition-LivenessDetection,False,False,ai
MiniAiLive/ID-DocumentRecognition-Windows-SDK,False,False,ai
MiniAiLive/MiniAI-Face-Recognition-AndroidSDK,False,False,ai
minimuscle/FLSTUD10ACT1VAT0R,False,False,suspicious
MircaLor/genshin-impact-cheat,False,False,suspicious
ml444/gkit,True,False,web
momotaaa/BeamProfiler,False,False,ai
MrHardik-k/MrHardik-k1,False,False,suspicious
MurrayHill1127/GoTorrent,False,False,tool/application
mytix9999/mytix,True,False,other
mzdk100/rigela,False,False,tool/application
NaishengZhang/book-recommendation-system,False,True,tutorial/demo
NaiveSteven/ideaz-element,True,False,web
Nanomoa/NanoNote,False,False,tool/application
Nathn/Squakr,False,False,web
nburmi/doc2plan,False,False,deleted
NexaAI/Awesome-LLMs-on-device,False,False,ai
NexaAI/nexa-sdk,True,True,ai
nextcaptcha/nextcaptcha-python,True,False,ai
nftdevs/NFTs-Upload-to-OpenSea,False,True,suspicious
NibiruChain/nibiru,True,True,blockchain
nightzjp/graphrag_api,True,False,database
NirDiamant/RAG_Techniques,False,False,ai
noctisynth/oblivion-rust,True,False,blockchain
numbersprotocol/nit,True,True,blockchain
oceanbase/ob-operator,True,False,database
okimano/fortnite-changer,False,False,suspicious
Oligard008/Pancakeswap-Bot,False,True,suspicious
oliverkarlsson1/SQUAD-SOFTWARE,False,False,suspicious
om-ai-lab/OmAgent,True,False,ai
OmniOneID/did-api-server,False,False,blockchain
OmniOneID/did-ca-server,False,False,blockchain
OmniOneID/did-doc-architecture,False,False,blockchain
OmniOneID/did-issuer-server,False,False,blockchain
OmniOneID/did-method-registry,False,False,blockchain
OmniOneID/did-release,False,False,blockchain
OmniOneID/did-wallet-sdk-server,False,False,blockchain
OmniOneID/eosio.contracts,False,False,blockchain
onraj/expo-draggable-textfield,True,False,web
onresize/react-ts-vite-admin,False,False,tutorial/demo
onresize/web-blogs,False,False,tutorial/demo
openex-network/oex,False,False,suspicious
OpenGithubs/github-monthly-rank,False,False,tutorial/demo
OpenInterpreter/01,True,True,ai
OpenNJet/OpenNJet,False,False,web
ora-io/opml,False,False,blockchain
