package,github,n_downloads,n_prod_deps,n_dev_deps,stars,issues
@types/shallowequal,DefinitelyTyped/DefinitelyTyped,5793865.0,0,0,46776,66341
@ibm/plex,ibm/plex,4312992.0,0,26,9221,541
fast-copy,planttheidea/fast-copy,74565084.0,0,34,1126,94
create-test-server,lukechilds/create-test-server,101286.0,4,6,120,36
@types/trouter,DefinitelyTyped/DefinitelyTyped,389870.0,0,0,46776,66341
vue-happy-scroll,tangdaohai/vue-happy-scroll,27145.0,2,29,331,56
@react-native-community/cli-platform-android,react-native-community/cli,77928311.0,6,2,2216,2313
@autorest/codemodel,Azure/autorest.powershell,351483.0,2,15,103,1301
@startupjs/babel-plugin-startupjs,startupjs/startupjs,21755.0,0,2,104,1196
@adonisjs/ace,adonisjs/ace,1015715.0,11,25,343,158
@csstools/cascade-layer-name-parser,csstools/postcss-plugins,16085184.0,2,0,816,1285
gatsby-plugin-less,gatsbyjs/gatsby,398798.0,3,4,54975,36115
@types/viewport-mercator-project,DefinitelyTyped/DefinitelyTyped,2137748.0,1,0,46776,66341
karma-jasmine,karma-runner/karma-jasmine,108042607.0,2,18,542,339
three-spritetext,vasturiano/three-spritetext,369012.0,1,11,304,46
@electron-forge/installer-exe,electron-userland/electron-forge,791375.0,2,1,6154,3519
share-api-polyfill,on2-dev/share-api-polyfill,250783.0,0,10,262,177
anchor-js,bryanbraun/anchorjs,245465.0,0,8,875,195
shx,shelljs/shx,30836995.0,2,17,1661,220
@octokit/graphql,octokit/graphql.js,296764075.0,3,12,440,545
@hint/hint-ssllabs,webhintio/hint,1834583.0,7,13,3586,5677
@types/json2csv,DefinitelyTyped/DefinitelyTyped,14616120.0,1,0,46776,66341
@automock/jest,automock/automock,178031.0,3,3,260,274
set-cookie-parser,nfriedly/set-cookie-parser,174042897.0,0,8,164,60
@babel/preset-es2017,babel/babel,76177.0,3,1,42821,15604
@syncfusion/ej2-angular-schedule,syncfusion/ej2-angular-ui-components,378512.0,4,0,272,263
postgres,porsager/postgres,3127870.0,0,0,6503,735
@types/angular-scroll,DefinitelyTyped/DefinitelyTyped,51966.0,1,0,46776,66341
@fontsource/yeseva-one,fontsource/font-files,29020.0,0,0,110,62
express-sequelize-crud,lalalilo/express-sequelize-crud,32877.0,4,25,126,100
@types/sparkpost,DefinitelyTyped/DefinitelyTyped,306138.0,2,0,46776,66341
@fabiospampinato/bump,fabiospampinato/bump,45138.0,10,3,404,33
eslint-plugin-tree-shaking,lukastaegert/eslint-plugin-tree-shaking,1076544.0,0,22,193,126
sass-lint,sasstools/sass-lint,7745151.0,14,5,1766,1336
@cloudflare/stream-react,cloudflare/stream-react,651594.0,1,23,141,94
@types/dogapi,DefinitelyTyped/DefinitelyTyped,2652383.0,0,0,46776,66341
@builder.io/gatsby,BuilderIO/builder,32547.0,10,6,6510,3033
unexpected-react,bruderstein/unexpected-react,42132.0,9,36,186,74
load-awesome,danielcardoso/load-awesome,32474.0,0,16,1023,15
fakeobjects,ckeditor/ckeditor4,65568.0,0,0,5767,5434
@strapi/plugin-email,strapi/strapi,3407663.0,14,12,59316,18696
@metamask/eth-json-rpc-middleware,MetaMask/eth-json-rpc-middleware,31589.0,9,28,172,288
@types/setimmediate,DefinitelyTyped/DefinitelyTyped,2456592.0,0,0,46776,66341
@apollo/gateway,apollographql/federation,19817745.0,19,0,640,2927
@azure/arm-reservations,Azure/azure-sdk-for-js,45235.0,7,17,1903,28860
jsen,bugventure/jsen,1966571.0,0,6,156,85
piii,piiijs/piii.js,35114.0,2,5,125,8
github-webhook-handler,rvagg/github-webhook-handler,146326.0,1,5,784,51
cspell-dict-css,streetsidesoftware/cspell-dicts,21457.0,2,0,200,3021
wnumb,leongersen/wnumb,1839071.0,0,2,176,32
react-url-modal,remoteoss/react-url-modal,161100.0,5,34,123,38
@spryker-lerna/filter-packages,lerna/lerna,47969.0,3,0,35267,3871
@types/json-dup-key-validator,DefinitelyTyped/DefinitelyTyped,99518.0,0,0,46776,66341
ps-list,sindresorhus/ps-list,97179428.0,0,3,262,59
gray-matter,jonschlinkert/gray-matter,55154776.0,4,12,3710,164
@ckeditor/ckeditor5-clipboard,ckeditor/ckeditor5,10118517.0,6,0,8048,15968
jsqr,cozmo/jsQR,10896884.0,0,13,3525,241
@wundergraph/protobuf,wundergraph/wundergraph,76691.0,3,2,2150,1287
popmotion-pose,Popmotion/popmotion,2644688.0,7,13,19745,961
@dnd-kit/modifiers,clauderic/dnd-kit,15591838.0,4,1,10980,1093
tsarch,ts-arch/ts-arch,284008.0,6,24,308,76
ebml,node-ebml/node-ebml,1396959.0,2,37,108,120
@hint/utils-i18n,webhintio/hint,1733823.0,1,10,3586,5677
style-ext-html-webpack-plugin,numical/style-ext-html-webpack-plugin,134834.0,2,17,126,65
react-iframe,svenanders/react-iframe,4380757.0,2,41,421,138
@egoist/vue-to-react,egoist/vue-to-react,1027809.0,2,11,201,24
jest-date-mock,hustcc/jest-date-mock,12962676.0,0,7,260,27
@storybook/riot,storybookjs/storybook,27450.0,16,5,82328,24197
@types/static-eval,DefinitelyTyped/DefinitelyTyped,66304.0,2,0,46776,66341
@loki/target-chrome-aws-lambda,oblador/loki,2049803.0,3,0,1719,482
xterm-addon-attach,xtermjs/xterm.js,675225.0,1,0,16421,4839
@fp-ts/data,fp-ts/data,53641.0,1,0,187,504
@types/extsprintf,DefinitelyTyped/DefinitelyTyped,1055488.0,0,0,46776,66341
@energyweb/utils-general,energywebfoundation/origin,58280.0,6,7,100,3378
kleur,lukeed/kleur,1117878837.0,0,2,1564,60
@r365/react-checkbox-tree,jakezatecky/react-checkbox-tree,32592.0,5,35,694,494
@types/batch-stream,DefinitelyTyped/DefinitelyTyped,186120.0,1,0,46776,66341
@databases/push-to-async-iterable,ForbesLindesay/atdatabases,951071.0,1,0,579,320
@databases/pg-config,ForbesLindesay/atdatabases,1107794.0,2,0,579,320
@graphql-inspector/config,kamilkisiela/graphql-inspector,2791364.0,2,0,1597,2644
@envelop/disable-introspection,n1ru4l/envelop,3120474.0,3,0,752,2098
@paulcbetts/vueify,vuejs/vueify,36132.0,11,0,1173,244
@iobroker/db-objects-file,ioBroker/ioBroker.js-controller,655716.0,4,0,293,2599
@types/compression,DefinitelyTyped/DefinitelyTyped,52470302.0,1,0,46776,66341
gh-got,sindresorhus/gh-got,14485303.0,1,4,178,43
@xkeshi/vue-qrcode,xkeshi/vue-qrcode,31785.0,2,25,1021,51
@codewithdan/observable-store-extensions,danwahlin/observable-store,32192.0,2,2,633,312
