repo,month,n_stars,n_clustered_stars
bitcoinbook/bitcoinbook,2019-10,105,0
bitcoinbook/bitcoinbook,2019-11,62,0
bitcoinbook/bitcoinbook,2019-12,54,0
bitcoinbook/bitcoinbook,2020-01,2,0
bitcoinj/bitcoinj,2019-07,11,0
bitcoinj/bitcoinj,2019-08,13,0
bitcoinj/bitcoinj,2019-09,11,0
bitcoinj/bitcoinj,2019-10,21,0
bitcoinj/bitcoinj,2019-11,20,0
bitcoinj/bitcoinj,2019-12,17,0
blinker-iot/blinker-js,2019-10,1,0
blinker-iot/blinker-js,2019-12,1,0
blinker-iot/blinker-library,2019-07,6,0
blinker-iot/blinker-library,2019-08,6,0
blinker-iot/blinker-library,2019-09,2,0
blinker-iot/blinker-library,2019-10,3,0
blinker-iot/blinker-library,2019-11,7,0
blinker-iot/blinker-library,2019-12,10,0
blinker-iot/blinker-py,2019-08,1,0
blinker-iot/blinker-py,2019-10,1,0
blinker-iot/blinker-py,2019-11,1,0
brillout/awesome-react-components,2019-07,158,0
brillout/awesome-react-components,2019-08,156,0
brillout/awesome-react-components,2019-09,164,0
brillout/awesome-react-components,2019-10,167,0
brillout/awesome-react-components,2019-11,175,0
brillout/awesome-react-components,2019-12,150,0
brillout/awesome-react-components,2020-01,2,0
btcsuite/btcd,2019-07,17,0
btcsuite/btcd,2019-08,18,0
btcsuite/btcd,2019-09,14,0
btcsuite/btcd,2019-10,18,0
btcsuite/btcd,2019-11,22,0
btcsuite/btcd,2019-12,17,0
bytecodealliance/wasmtime,2019-11,143,0
bytecodealliance/wasmtime,2019-12,102,0
bytecodealliance/wasmtime,2020-01,3,0
cambecc/earth,2019-07,17,0
cambecc/earth,2019-08,19,0
cambecc/earth,2019-09,19,0
cambecc/earth,2019-10,17,0
cambecc/earth,2019-11,17,0
cambecc/earth,2019-12,19,0
charlax/engineering-management,2019-07,8,0
charlax/engineering-management,2019-08,21,0
charlax/engineering-management,2019-09,32,0
charlax/engineering-management,2019-10,12,0
charlax/engineering-management,2019-11,16,0
charlax/engineering-management,2019-12,40,0
charlax/engineering-management,2020-01,1,0
charlax/professional-programming,2019-07,45,0
charlax/professional-programming,2019-08,36,0
charlax/professional-programming,2019-09,77,0
charlax/professional-programming,2019-10,40,0
charlax/professional-programming,2019-11,44,0
charlax/professional-programming,2019-12,15,0
chensheng/wechatty-project,2019-09,1,0
chensheng/wechatty-project,2019-10,1,0
cirosantilli/china-dictatorship,2019-07,1,0
cirosantilli/china-dictatorship,2019-08,2,0
cirosantilli/china-dictatorship,2019-09,9,0
cirosantilli/china-dictatorship,2019-10,5,0
cirosantilli/china-dictatorship,2019-11,4,0
cirosantilli/china-dictatorship,2019-12,1,0
clue/graph-composer,2019-07,5,0
clue/graph-composer,2019-08,2,0
clue/graph-composer,2019-09,1,0
clue/graph-composer,2019-10,2,0
clue/graph-composer,2019-11,3,0
clue/graph-composer,2019-12,5,0
codef0rmer/angular-dragdrop,2019-07,3,0
codef0rmer/angular-dragdrop,2019-08,1,0
codef0rmer/angular-dragdrop,2019-10,1,0
codef0rmer/angular-dragdrop,2019-11,1,0
coells/100days,2019-07,24,0
coells/100days,2019-08,12,0
coells/100days,2019-09,17,0
coells/100days,2019-10,19,0
coells/100days,2019-11,13,0
coells/100days,2019-12,13,0
collabnix/dockerlabs,2019-07,10,0
collabnix/dockerlabs,2019-08,17,0
collabnix/dockerlabs,2019-09,10,0
collabnix/dockerlabs,2019-10,16,0
collabnix/dockerlabs,2019-11,34,0
collabnix/dockerlabs,2019-12,21,0
collabnix/dockerlabs,2020-01,3,0
coreos/mantle,2019-07,2,0
coreybutler/nvm-windows,2019-07,123,0
coreybutler/nvm-windows,2019-08,117,0
coreybutler/nvm-windows,2019-09,115,0
coreybutler/nvm-windows,2019-10,108,0
coreybutler/nvm-windows,2019-11,113,0
coreybutler/nvm-windows,2019-12,111,0
coreybutler/nvm-windows,2020-01,4,0
d2l-ai/d2l-zh,2019-07,364,0
d2l-ai/d2l-zh,2019-08,116,0
d2l-ai/d2l-zh,2019-09,815,0
d2l-ai/d2l-zh,2019-10,444,0
d2l-ai/d2l-zh,2019-11,222,0
d2l-ai/d2l-zh,2019-12,220,0
d2l-ai/d2l-zh,2020-01,11,0
d3/d3,2019-07,325,0
d3/d3,2019-08,281,0
d3/d3,2019-09,284,0
d3/d3,2019-10,243,0
d3/d3,2019-11,236,0
d3/d3,2019-12,218,0
d3/d3,2020-01,5,0
dalance/amber,2019-07,1,0
dalance/amber,2019-08,1,0
dalance/amber,2019-09,2,0
dalance/amber,2019-10,14,0
dalance/amber,2019-12,1,0
danielpclark/rutie,2019-07,2,0
danielpclark/rutie,2019-08,4,0
danielpclark/rutie,2019-09,1,0
danielpclark/rutie,2019-10,6,0
danielpclark/rutie,2019-11,2,0
danielpclark/rutie,2019-12,6,0
dannnylo/rtesseract,2019-07,3,0
dannnylo/rtesseract,2019-08,2,0
dannnylo/rtesseract,2019-09,1,0
dannnylo/rtesseract,2019-10,6,0
dannnylo/rtesseract,2019-11,2,0
dannnylo/rtesseract,2019-12,3,0
django/django,2019-07,279,0
