repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
,sahdaela19/Pancakeswap-Sniper-Bot,65,54,0.8307692307692308
,BlockAudit-Report/KOT,550,454,0.8254545454545454
,Gamorrra/Redline,105,86,0.819047619047619
,cyrilliumd3v/Cyrillium-AI,108,88,0.8148148148148148
,mypha-store/MedicalStore,69,56,0.8115942028985508
,AhmadSheblak/FlutterAhmad,111,90,0.8108108108108109
,vitoriosolo1/Mevbot,120,97,0.8083333333333333
,EtheriumErc/Eth,104,84,0.8076923076923077
,LiguaOfLegendss1/LeagueofLegends,103,83,0.8058252427184466
,minusmiwka7/stunning-rotary-phone,91,73,0.8021978021978022
,XFQWFRE/Fortnite-Skin-Swapper,166,132,0.7951807228915663
,katelin63/MEV-BOT,302,239,0.7913907284768212
,ivanmcatalyst/APP-MEV-BOT.com,81,64,0.7901234567901234
,noobkuna/asdsa.StynatYM7a412,179,141,0.7877094972067039
,ER34R34R/Ellias-Skin-Swapper,117,92,0.7863247863247863
,raffverofar1980/Sketchup,65,51,0.7846153846153846
,rlaeodud001/rlaeodud0011,69,54,0.782608695652174
,vlad-kuc/MevBot,287,224,0.7804878048780488
,youbugme/laucherMenu,80,62,0.775
R_kgDOHMZSIQ,IPILabs/shorter-v1-periphery,453,351,0.7748344370860927
MDEwOlJlcG9zaXRvcnkxODQwNzM3MTA=,jen-soft/pydocker,91,70,0.7692307692307693
,dentpoldiaflixfuh/dorftrip,340,261,0.7676470588235295
,maggiorana/vpn2024,255,195,0.7647058823529411
MDEwOlJlcG9zaXRvcnkzNzE0OTkxMjI=,AmitAKB/shoppingcart,140,107,0.7642857142857142
,howredapares/R6-NEW-SOFTWARE,93,71,0.7634408602150538
,darknetplace/dark-markets-link,206,156,0.7572815533980582
,terry252/tor-sites-list-2024-updated,1520,1143,0.7519736842105263
,neuspywicpulbio/libo,395,295,0.7468354430379747
,winbopetosa/rabatt,253,188,0.7430830039525692
,vaytupemerrock/capwi,377,280,0.7427055702917772
,NotEnoughUpdates0/NotEnoughUpdates,122,90,0.7377049180327869
,teaspartracammorr/Fortnite-software,313,230,0.7348242811501597
,eddieBaute/AutoCAD,79,58,0.7341772151898734
R_kgDOHNKpmg,numbersprotocol/nit,4350,3164,0.7273563218390805
,7RDMC/SoulSniper-SOLANA-SNIPER-BOT,477,344,0.7211740041928721
,guenerabomsi/OVERWATCH,125,90,0.72
,j22162AHuZy/kgikqx68li9v,89,64,0.7191011235955056
,worsathanktabna/pode,352,253,0.71875
,wovkop/How-to-create-honeypot-token,2987,2141,0.7167726816203549
R_kgDOIkClpA,iqhelp/iqhelp,1811,1297,0.7161789066813915
,Ganiy12/TraderClient,98,70,0.7142857142857143
,thmatpartgipegas/discnu,387,276,0.7131782945736435
,tostakei/MevBot,258,183,0.7093023255813954
,CanFeelMyHeart/Emida-Enjoyer,413,290,0.7021791767554479
R_kgDOHap2FA,ArtyfactMetaverse/ARTY-token,120,84,0.7
,technetiumd3v/technetium-AI,123,86,0.6991869918699187
,terribilini/dark-web-links,369,257,0.6964769647696477
,GSRHackZ/EdgyBot_edgenuity-nuke,493,341,0.691683569979716
,8uraj/8uraj-ToolBtc-Main,430,294,0.6837209302325581
,blinatevoter/Roblox-Synapse-x-Crack,160,109,0.68125
R_kgDOHQPxRg,MizzyPD/Pokemon-Daybreak,103,70,0.6796116504854369
MDEwOlJlcG9zaXRvcnk5MDI1MjU3NA==,jun7th/WebHubBot,80,54,0.675
MDEwOlJlcG9zaXRvcnkzNTEwMjgwMDU=,dikisiswanto/barka,156,105,0.6730769230769231
MDEwOlJlcG9zaXRvcnkzOTQ4MzgzNTU=,Error-IDK/Blox-Fruits-Script,91,61,0.6703296703296703
,PeterSamuel2001/Solana-Bot,302,202,0.6688741721854304
R_kgDOKUJGOQ,chai-research/chaiverse,488,326,0.6680327868852459
,aitsereal96/pinch,87,58,0.6666666666666666
R_kgDOIbCNKg,Di3colearn/Active-Developer-Badge,441,294,0.6666666666666666
R_kgDOIbJh0g,realfalcary/Pokemon-Myth,131,87,0.6641221374045801
R_kgDOK0z6Tg,bitisanop/CryptoExchange_TradingPlatform_CoinExchange,125,83,0.664
,InstCrack/instcrack.com,110,73,0.6636363636363637
,Apurina/Mevbot,88,58,0.6590909090909091
,mepahulca1973/Adobe-Premiere-Pro,111,73,0.6576576576576577
,MrAmanya/V-MaxProject,131,86,0.6564885496183206
,vnla101/darkweb-tour,269,175,0.6505576208178439
R_kgDOKpFrGQ,yuezhengfu/CNPS.cycle,80,52,0.65
,achaf/Crypto-trading-bot-2024,931,604,0.6487647690655209
,feet/audient,6815,4385,0.6434336023477623
,whiterose678/binance-trading-bot,84,54,0.6428571428571429
R_kgDOLWXirg,krithivjayapr/TweetMaster,78,50,0.6410256410256411
MDEwOlJlcG9zaXRvcnkzNjg1Njg3OTU=,kazura233/web-daemon,685,438,0.6394160583941606
R_kgDOI0sARw,Gilgiltsu/FMTools,108,69,0.6388888888888888
MDEwOlJlcG9zaXRvcnkzNjU1NDYwNTE=,donato-fiore/GameSeagull,260,166,0.6384615384615384
,vihuh/nexus-market,1680,1070,0.6369047619047619
,drainerstore00/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT-,313,199,0.6357827476038339
,Skytls/Skytils,85,54,0.6352941176470588
,GSRHackZ/EdgyBot_Edgenuity_Bot,82,52,0.6341463414634146
,tomhginis/html5-picture-editor,165,104,0.6303030303030303
R_kgDOJ0xo2w,P20-ORG/P-20-Blockchain,705,444,0.6297872340425532
