repo,scanner,result,analysis_id,analysis_link
b815747Y/FORTNITEBLACKi,DrWeb,Trojan.DownLoader46.64705,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,TrendMicro,TROJ_GEN.R002C0DGV24,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,FireEye,Gen:Variant.Tedy.604571,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Sophos,Mal/Generic-S,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Ikarus,Trojan.Win32.Cerber,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Google,Detected,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Antiy-AVL,Trojan/Win32.Cerber,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Arcabit,Trojan.Generic.D45C30BF,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,GData,Gen:Variant.Tedy.604571,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Varist,W32/ABTrojan.ECWS-2251,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,ALYac,Gen:Variant.Tedy.604571,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,MAX,malware (ai score=82),MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Fortinet,W32/PossibleThreat,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
Lsaqutellia/New-Game-Product-Fortnite,MicroWorld-eScan,Gen:Variant.Lazy.562895,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,ESET-NOD32,a variant of MSIL/TrojanDropper.Agent.GCY,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Avast,Win32:PWSX-gen [Trj],MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Kaspersky,HEUR:Trojan.MSIL.DOTHETUK.gen,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,BitDefender,Gen:Variant.Lazy.562895,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Emsisoft,Gen:Variant.Lazy.562895 (B),MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Google,Detected,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,VIPRE,Gen:Variant.Lazy.562895,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,SentinelOne,Static AI - Malicious Archive,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,FireEye,Gen:Variant.Lazy.562895,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Sophos,Generic ML PUA (PUA),MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Ikarus,Trojan-Dropper.MSIL.Agent,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,Arcabit,Trojan.Lazy.D896CF,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,ZoneAlarm,HEUR:Trojan.MSIL.DOTHETUK.gen,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,GData,Gen:Variant.Lazy.562895,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
Lsaqutellia/New-Game-Product-Fortnite,AhnLab-V3,Trojan/Win.PWSX-gen.C5629772,MmYwNzBjZTU5NThiNDUzMGQ5OGJlOTNjZDZkM2MwMzM6MTcyMzcyMDg3OQ==,https://www.virustotal.com/gui/file/940dd7f42b31ba82de6fdf48e50adc5fdb286b59331c71ef84ca890fe8c933d8
