github,total_stars,fake_stars,fake_percentage
DylanVann/react-native-fast-image,8091,3,0.03707823507601038
d3/d3,108032,40,0.0370260663507109
sandoche/Darkmode.js,2706,1,0.03695491500369549
react-native-community/react-native-modal,5419,2,0.036907178446207785
missionsai/slapp,2711,1,0.03688675765400221
eclipse-theia/theia,18982,7,0.03687704140764935
slackapi/bolt,2712,1,0.03687315634218289
codemirror/codemirror.next,5434,2,0.0368052999631947
jaredhanson/passport-local,2719,1,0.03677822728944465
LiskHQ/lisk-sdk,2723,1,0.03672420124862284
ng-bootstrap/ng-bootstrap,8181,3,0.03667033370003667
andpor/react-native-sqlite-storage,2727,1,0.03667033370003667
TehShrike/deepmerge,2730,1,0.03663003663003663
theia-ide/theia,19113,7,0.03662428713441113
lerna/lerna,35501,13,0.036618686797555
mscdex/ssh2,5465,2,0.036596523330283626
h2non/toxy,2738,1,0.03652300949598247
rsuite/rsuite,8215,3,0.03651856360316494
vueuse/vueuse,19190,7,0.03647733194372069
ngx-formly/ngx-formly,2750,1,0.03636363636363636
lyrasearch/lyra,8263,3,0.036306426237444026
VodkaBears/Remodal,2755,1,0.03629764065335753
oramasearch/orama,8269,3,0.036280082234853066
AssemblyScript/assemblyscript,16587,6,0.03617290649303671
grommet/grommet,8310,3,0.036101083032490974
tensorflow/tfjs-models,13861,5,0.03607243344636029
ferdikoomen/openapi-typescript-codegen,2773,1,0.03606202668589975
tsedio/tsed,2778,1,0.03599712023038157
TypedProject/tsed,2779,1,0.035984166966534725
tj/connect-redis,2782,1,0.03594536304816679
creativetimofficial/material-dashboard-react,2782,1,0.03594536304816679
crazycodeboy/react-native-splash-screen,5581,2,0.035835871707579285
mpromonet/webrtc-streamer,2793,1,0.03580379520229145
mscdex/busboy,2803,1,0.03567606136282554
mar10/fancytree,2805,1,0.035650623885918005
luin/ioredis,14039,5,0.03561507229859676
oblador/react-native-lightbox,2809,1,0.0355998576005696
joltup/rn-fetch-blob,2813,1,0.03554923569143263
quilljs/quill,42223,15,0.035525661369395826
atisawd/boxicons,2826,1,0.035385704175513094
bufbuild/buf,8487,3,0.03534817956875221
jscottsmith/react-scroll-parallax,2830,1,0.0353356890459364
vueComponent/ant-design-vue,19813,7,0.035330338666532075
ElemeFE/element-react,2833,1,0.03529827038475115
videojs/videojs-contrib-hls,2836,1,0.03526093088857546
sintaxi/surge,2838,1,0.035236081747709654
splitbee/react-notion,2841,1,0.03519887363604365
wangeditor-team/wangEditor,17180,6,0.034924330616996506
badges/shields,22952,8,0.03485535029627048
maxs15/react-native-modalbox,2885,1,0.03466204506065858
vite-pwa/vite-plugin-pwa,2894,1,0.03455425017277125
omnidan/redux-undo,2909,1,0.034376074252320386
bevacqua/rome,2909,1,0.034376074252320386
nhn/tui.calendar,11636,4,0.034376074252320386
leafo/sticky-kit,2911,1,0.034352456200618345
lipis/bootstrap-social,2916,1,0.034293552812071325
linkedin/dustjs,2916,1,0.034293552812071325
ianstormtaylor/slate,29263,10,0.03417284625636469
