repo_id,repo_names,n_stars,n_stars_low_activity,p_stars_low_activity
,Akical/ARBITRAGE-MEV-BOT,187,71,0.37967914438502676
,drainercheap/MULTICHAINDRAINER-ETHEREUM-DRAINER-CRYPTO-DRAINER-2023-ETH-DRAINER-TOKEN-NFT-SEAPORT-NEW,240,91,0.37916666666666665
,aviatbet/Aviator-predictor-app,219,83,0.3789954337899543
,Lunahax/VAL0ADER,243,92,0.3786008230452675
MDEwOlJlcG9zaXRvcnk4MDYzNzg2NA==,prizmspace/PrizmCore,230,87,0.3782608695652174
,LarkoPa/bombcrypto-robot,151,57,0.37748344370860926
R_kgDOH125Rw,oleksandr-kravchenko/twitter-account-registrator,178,67,0.37640449438202245
R_kgDOGu9hdw,SourcelessBlockchain/beaker,981,369,0.3761467889908257
,GhostCrimm/GhostCrimm.github.io,149,56,0.37583892617449666
R_kgDOGh9Svw,Glixerz/Blooket-Hacks,604,227,0.3758278145695364
,RitaBot-Project/RitaBot,754,283,0.3753315649867374
R_kgDOLzrVTQ,codenihar/ml,680,255,0.375
MDEwOlJlcG9zaXRvcnkxMTEzMDIwOTE=,David-vz/MonsterHunterPortable3rdHDRemake,232,87,0.375
R_kgDOJEl5bw,metatimeofficial/chainlist,19498,7285,0.37362806441686325
R_kgDOHlRnPQ,Thlumyn/clangen,174,65,0.3735632183908046
MDEwOlJlcG9zaXRvcnkyOTY4MjI2NjE=,yelling95/skin-simpleisbest,142,53,0.3732394366197183
,Minesraft2/Blooket-Cheats,1076,401,0.37267657992565056
,altalab/AZ-900T0x-MicrosoftAzureFundamentals,234,87,0.3717948717948718
MDEwOlJlcG9zaXRvcnkxMTM5MTY0MTU=,AXErunners/axe,256,95,0.37109375
R_kgDOGTuzwg,help-lixin/route-service,159,59,0.3710691823899371
MDEwOlJlcG9zaXRvcnkxMzA2NzUyNjY=,SeongJaeMoon/FastCampusWebPythonBasic,276,102,0.3695652173913043
,Zedthon/ZedThon-PACK,141,52,0.36879432624113473
R_kgDOI6H5bQ,ancel1x/Ancels-Performance-Batch,180,66,0.36666666666666664
MDEwOlJlcG9zaXRvcnkyNzUxNDQzNDA=,c3cbot/c3c-fbstate,216,79,0.36574074074074076
R_kgDOK42u6w,fury-os/fury_kms,1319,482,0.36542835481425323
,exxteriumdev/exxteriumclient.net-AI,288,105,0.3645833333333333
R_kgDOJFYPgQ,emuPlace/emuThreeDS,874,318,0.36384439359267734
MDEwOlJlcG9zaXRvcnkyOTQ4MDg5ODU=,innovaccion-virtual/onboarding-github-innovaccion,421,153,0.36342042755344417
MDEwOlJlcG9zaXRvcnkzOTM5MjA4NTA=,SealedSaucer/Voicecord,644,233,0.36180124223602483
,BlockAudit-Report/Slime,233,84,0.3605150214592275
R_kgDOHMOoxQ,rxzyx/prodigy-hack,228,82,0.35964912280701755
R_kgDOJFqClg,Pawkishi/PAWSWAPtoken,348,125,0.35919540229885055
,EvaDreamless/Pancakeswap-Sniper-Bot,368,132,0.358695652173913
,richardturner5847/RUST-HACK-ESP-AIMBOT-More-functionality-Absolut,145,52,0.3586206896551724
MDEwOlJlcG9zaXRvcnkyOTU3ODA4NzU=,XuliGan4eg2006/Vk-Tokenner-,218,78,0.3577981651376147
R_kgDOG8PtNA,crcep/cybersecurity,174,62,0.3563218390804598
MDEwOlJlcG9zaXRvcnkxMjQ3MDU3NTI=,AXErunners/electrum-axe,219,78,0.3561643835616438
MDEwOlJlcG9zaXRvcnkzOTg5MjY1MDI=,doombubbles/ultimate-crosspathing,141,50,0.3546099290780142
R_kgDOICNJ_Q,arashnm80/spot-seek-bot,240,85,0.3541666666666667
MDEwOlJlcG9zaXRvcnkxODAyOTA1NzI=,LiuKay/WareHouseManagSys,161,57,0.35403726708074534
R_kgDOHukS0g,aqvaspirt/Page-Translator-Tracker,403,142,0.3523573200992556
,comrorole1982/Adobe-Photoshop,222,78,0.35135135135135137
R_kgDOI1uXdg,xhcherry/GTA5-Stand-LuaAIO,296,104,0.35135135135135137
R_kgDOJVhQEw,efenatuyo/ugc-sniper,623,218,0.34991974317817015
